artist,title,lyric
  애플스  ,Lovers’ Leap (Feat. Qypthone),i feel alright now but don't know how to speak my name out i lost my mind used to be fine but now i am blind i can not stand the line so falling it hurts it hurts so much i can't hardly breath i can't hold back the tears any more the void gives me no direction so i'm walking nowhere i know i know but now you're gone my love is over now my life is all over i can't breath and i'm sick cuz it means all over u said that don't let her go is that what I needed my love is over now my life is all over i can't breath and i'm sick cuz it means all over u said that don't let her go is that what I needed love is so hard life is breathless the feeling of emptiness it causes in my ears i close my eyes all i can see it's darkness i can't stand the line so falling your silence said everything to me your smile meant the world you completed me you believed in me you stood by me and trusted me all of these things are memory i know i know but now you're gone  my love is over now my life is all over i can't breath and i'm sick cuz it means all over u said that don't let her go is that what I needed my love is over now my life is all over i can't breath and i'm sick cuz it means all over u said that don't let her go is that what I needed my love is over now
  업타운  ,뒤돌아봐,뒤돌아봐 난 난 너를 기다리고 있어 애써 감추려 하지마 그 맘을 이제 열어요 이제는 맘을 열어요 내가 들어갈 수 있도록 지난 사람들은 잊어버려 그리고 눈을 감아요 가까이 다가갈 수 있도록 너의 입술을 느끼고 싶어 바라 볼수록 시간이 흘러 갈수록 그래도 우리의 사랑이 깊어지길 바래 그대 때문에 지나간 나의 방황은 없어 뒤돌아봐 난 난 너를 기다리고 있어 애써 감추려 하지마 그 맘을 이제 열어요 나의 눈을 바라보아요 사랑을 느낄 수 있도록 다른 사랑을 시작해요 그리고 맘을 놓아요 사랑이 깊어질 수 있도록 너의 숨결을 느끼고 싶어 다가갈수록 네게 다가갈수록 아주 많이 많이 사랑할수록 그래도 우리는 언제나 영원하길 바래 그대 때문에 이제 지난 나의 방황은 없어 뒤돌아봐 난 난 너를 기다리고 있어 애써 감추려 하지마 그 맘을 이제 열어요 Come and let me use my magic potion before I rub it down with some secy lotion And just lay back and enjoy the ride and tell me how good it feels inside I know I'll be huggin' and kissin' and lovin you forever I won't be mistreating and dissin' you never Your so secy in every single way I'll be makin' love to you almost everyday 바라볼수록 너를 바라볼수록 시간이 흘러갈수록 그래도 우리의 사랑이 깊어지길 바래 그대때문에 이제 지난 나의 방황은 없어 뒤돌아봐 난 난 너를 기다리고 있어 애써 감추려 하지마 그 맘을 이제 열어요 뒤돌아봐 난 난 너를 기다리고 있어 애써 감추려 하지마 그 맘을 이제 열어요
  The Quiett  ,Take The Q Train Remix (Feat. P-Type),비가 내리던 여름밤 어떤 꼬마의 이야기 나조차 돌보지 않았던 나의 옛날 이야기 어둡고 좁은 방은 극도로 불안해 두꺼운 구름은 이내 비를 퍼붓고 난 이마와 가슴팍에 성호를 긋고 어린 시절을 떠올려 비오면 듣곤 하던 낡은 라디오 맑은 날이 오길 정말 지겨운 장마 끝날 그 날이 오기를 하늘에 가까운 우리 집 바깥에 천둥소리만 가득해 눈물을 닦아주던 엄마는 없고 아빠도 안 계셔 난 이불을 덮고 한숨을 낮게 쉬었고 이런 날은 내 그림자마저 날 괴롭혀 몰래 손을 뻗어 라디오 볼륨을 높여 빗소리보다 노랫소리 커질 때 빗방울보다 눈물이 짙어질 때 꼬만 잠든다 조그만 창문 밖 빗소리 숨어있는 꼬말 찾는다 Let the music diffuse all the tention Let the music diffuse all the tention Let the music diffuse all the tention Let the music diffuse all the tention 비가 그친 하늘에는 어느덧 곱게 별이 피어나네 국자모양 일곱개 내가 붙인 이름은 검둥이 진돗개 행복이 뭔지 몰라도 난 행복해 겁 많던 아이 세상은 울타리가 되주진 않더라 나이 어린 꼬마의 두눈에 세상이 잿빛으로 머무네 질문이 질문에 꼬리를 끝없이 무네 TV속에 사람들은 웃고만 있는데 엄마랑 아빠는 왜 울고만 있는데 책에 나온 행복이란 도대체 뭔지 아빠의 편지 그리고 눈가에 번지는 슬픔 미안하단 얘기만 있을뿐 슬픈 얘기도 없는데 왜 자꾸 슬픈지 비오는 밤이면 난 덩치만 큰 꼬마 몸뚱이만 늙고만 아홉살짜리 꼬마 Let the music diffuse all the tention Let the music diffuse all the tention Let the music diffuse all the tention Let the music diffuse all the tention 떠오르는 것들을 모아서 시를 썼어 아주 가끔 날 괴롭히는 건 다 끝난 일들에 사로잡히는 것 접고 있던 기억들을 현실과 맞바꾼 담부터는 자꾸만 마이크만 손에 잡히는 걸 나 어느새 짙은 검은색 마이클 쥐고 서있네 과거의 어둔색 헤치고 나와 무대로 올라 모두가 놀랄 라임을 쏟아내지 어릴때는 몰랐던 운명 꼬마가 울면 따라 노래부르던 라디오는 분명 훨씬 더 시간이 지나 거친 도시 위를 거침없이 걷는 것이 바로 꼬마의 길임을 알고 있었네 나는 감춰온 비밀을 꺼내 시를 썼네 어렵던 슬픔과 허덕였던 시간들을 노래로 썼네 자 고개를 끄덕여
  Warren G  ,Game Don`t Wait,I come to find out all these years man The game wont wait no matter who you are Where you are or how you are The game wont wait Its a cold thang its a cold game You know how it is Game dont wait Shit dont stop because Game dont wait Shit dont stop because Game dont wait Shit dont stop because Game dont wait Shit dont stop because Game dont wait Now all I see is we The LBC 213s Cheese and please and the reason the season The click's off the heezy Mr.Warren G Z Gots to make it easy for Snoop D Z They come back and drop raps and make snaps so easy The most hunted and most wanted With a pocket full of hundreds you know how we run it Snoop D woop pass the MIC Anticipation 213 We contemplate and regulate Now we got the game tight its money to make The game wont wait but you can wait for the game Worldwide tour with skirts screamin our name The hits dont stop because the game wont change all we goin to do is maintain The hits dont stop because the game dont wait I got no time for no payin much rate I gotta go out and buy some brand new clothes change my socks before they reveal my toes The hits dont stop because the game dont wait And the girls dont stop because the dick is straight let me teach you what I already know the hits dont stop so its time I go Game dont wait Shit dont stop because game dont wait Shit dont stop because Game dont wait Shit dont stop because the game dont wait Shit dont stop because Game dont wait Now its the second time around ain't no phonies any fakes Let me holla at cha tryin to snake my stakes you older than me you say OG you almost 40 tryin to stay young and sporty Sport you roll me those and stay in ya place Before you see all stars right up in ya face Youngsta never bite the hand thats feeds you Proceed to get back to your folks the loccs that need you We do we always keep it on the true 213 thats the name of the crew Its true that the dirt i did As a kid got me caught up but I was brought up With the MO if a DO so play your info Youngster I been doin this before I hit the radizzo Snoop D Z is off the heezey So you can make mine extra cheesy The crew's a twist cuz it consists of 3 riders eastsiders one love The hits dont stop because the game won't change All we ever wanted was a small time rap chain Game dont wait Shit dont stop because Game dont wait Shit dont stop because Game dont wait Shit dont stop because Game dont wait Shit dont stop because Game dont The shit keeps movin it'll never stop Long as we able to make hit roccs Long as a papa can't stop my flow The shit don't stop I gotta make my flow The shit don't stop if you intend to take The shit don't stop its companies we break Take all the money and toss them hoes The shit don't stop thats just Game dont wait Shit dont stop because the game dont wait Shit dont stop because the game dont wait Shit dont stop because the game dont wait Shit dont stop because the game dont wait Shit dont stop because the game dont wait
  Bone Thugs-N-Harmony  ,Flowmotion,"Flow, flow, flow, flow, flow, flow, flow I flow (flow) when I go (go) in flow mo  [Layzie] Layzie Bone is in the house I'm gettin it starrrted up And it's my parrrt of the cut to let you know That the (harrrder not to haul), you're stuck I get the gauge, and let it blast And get you shot, and then you drop You're popped, so now I got to free the block I'm breakin' 'em, takin' 'em, makin' 'em Fakin' 'em, shakin' 'em off To a new height, I rocks the mic, yes I'm hype I love to write, so don't you bite Yeah, I'm the Bone, that nigga That's on the microphone You shoulda known, you're fuckin with me Yeah, it's on 'Cause I got Krayzie and Bizzy Bone without a doubt Wish Bone, and my bigger brother Stan Howse So call your posse You gonna need 'em when the Bone's approachin' 'Cause I be doin a flow motion  [Wish] We never get caught whenever we run Because we throw bolo I'm hypin' 'em up, and strikin' 'em up To keep 'em in flow mo You step and you're stuck Now, what in the fuck Is up with this dumb shit? I'm packin' a nine most all of the time now back up bitch I'm locked down all the time because I might go psycho, for drinkin' that Cisco and poppin' my pistol, you're claimin you're rough I'm callin' your bluff So, what's up, sucka? I'm callin' my niggas, pullin' them Triggas quick in the mutha fucka  I flow (flow) when I go (go) in flow mo  [Bizzy] A 187, A lesson for niggas who think they get with the Bone The weapon is kept in a trench and, so gimme the gat At once you're shown there's nothing flow like flow mo I roll with the Bone, no never go solo Time and time again, think I'm gonna need for smoke 'em So, so, no, no, 'cause I don't think that Biz will ever back down, you cross our ways So you sing, then you chill in the background I'm psycho and like no (?) on my level Let's meet in the cemetery And no, don't forget the shovels ([Layzie:] I'm diggin a ditch) for the sucka who thought that they could fade me Chillin with my nigga Wish, Layzie and Krayzie The gauge be pointed at your temple in our land My F-L-O-M-O-T-I-O-N can  Flow, flow, flow, flow, flow, flow, flow, flow...  [Krayzie] Well it's the nigga the nigga the nigga the once again And niggas they pick up the pen and they try to contend 'Cause so (?) when there's a MAC-10 It's blastin', pick up my gun And now you're running now from the assassin Pumpin' the clip and you askin' ""Who in the fuck was that masked man?"" The nigga that pulled the trigga 'Cause I'm slimmer they figured they bigger But when you can see the real killer is peelin' your cap Nigga that's runnin' the pack They step so pack the gat, tossin' ya life I proceed with the murders, servin' off in a coffin You're fucked, because your niggas They heard that I buck So don't think you'll win when I got my steel And I'm feelin it, when you feelin' a pain well, like I'm insane And know I can throw the gauge if you complain There's never another to go with a brother While smutherin' suckers been goin' undercover We leave 'em in gutters, ain't going to get caught But who was the sucka that's squealed on a murder? Well, 187 The weapon is kept and ya step and get learned a lesson I grab my Smith & Wesson For punks that run to test And so punks get ready to drop 'Cause I'm on a roll and you'll get smoked And I'm kickin a gangsta twist Let's keep 'em moving in flow motion"
  Eminem  ,Crazy In Love,"You always thought that I was doing alright But nothing that was through a night But I'm crazy over you Crazy Over you Crazy Over you Let me go crazy crazy Over youuuuuuuuu  Can't you see what you do to me baby? You make me crazy, you make me act like a maniac. I'm like a lunatic, you make me sick You truly are the only one who can do this to me You just make me get so crazy. I go skitzo, I get so insane I just go skitzophrenic One minute I want to slit your throat The next I want sex. You make me crazy, the way we act like 2 maniacs in the sac We fuck like 2 jackrabbits And maybe that's a bad habit. Cuz the next day we're right back at it In the same exact pattern What the fuck is the matter with us We can't figure out if it's Lust or it's love What's sad is what's attracting us to each other They say that every man grows up to marry his own mother. Which would explain why you're such a motherfucking bitch But I stay and still stick it out with you even though I just hit you today But you deserve it you hit me first and provoked me to choke you Just cuz I came home late last night crawled in bed and I woke you. But if there's one thing about you I admire its, baby, Because you stay with me, maybe, because you're as crazy as I am Cuz when I look at you I can see an angel in your eyes But if I look deeper inside I see your freakish little side. Like a devil in disguise, You're always full of surprises Always pullin' devises Out your personal vibrators and dildos You fucked yourself so much You barely feel those anymore You're only 24 but you're plenty more now. Sure than those other little hoes Who just act like little girls Like they're in middle school still You're crazy sexy cool, chillin You play your position You never step out of line Even though I stay in your business You've always kept out of mine. I wonder whats on your mind Sometimes they say love is blind Maybe that's why the first time I dotted your eye You ain't see a sign.  Or maybe you did Maybe you like me and stuff Maybe cuz we're crazy in loooove  Crazy Over you Crazy Over you Let me go crazy crazy Over youuuuuuuuu  You're the ink to my paper Where my pen is to my pad The moral, the very fiber The whole substance to my rap. You are my reason for being The meaning of my existence If it wasn't for you I would never be able to spit this These sentences I do wit me I am me Is you rely on me as much as I rely on you to inspire me like you do. You provide me the lighterfluid to fuel my fire You're my entire supply Gas, the match, the igniter. The only way that I am able to stay so stable Is you're the legs to my table If you were to break I'd fall on my face. But I'm always going to make you feel I don't need you as much as I really need you So you don't use it to your advantage. But you're essential to me You're the air I breathe I believe if you ever leave me I'd probably have no reason to be. You are the Kim to my Marshall You're the Slim to my Shady The Dre to my Eminem The Elaina to my Hailey. You are the word I am looking for when I'm trying to describe how I feel inside And the right one just won't come to my mind. You're like the pillar that props me up The beam that supports me The bitch who never took half, The wife who never divorced me. You're like the root to my evil You let my devil come out me You let me beat the shit out you Before you beat the shit out me.  And no matter how much Too much is never enough Maybe cuz we're crazy in loooove"
  Flo Rida  ,Wobble,"""Every time you come aroundI'm like ooh ooh baby, ooh ooh babyWhen I see you break it downI like you do, baby, you do, babyPapa told me, """"BoyDon't ever let down your guard""""But when you touch my hand and talk that talkI got a knockin' in my knees and a wobble in my walkWobble in my... wobble in my...Wobble in my... wobble in my...When you touch my hand and talk that talkI got a knockin' in my knees and a wobble in my walkIt's like my head's back, been drinkin' out the bottle, I swallowSome strong drank but really just my motto, she lottoJackpot, grand prize, champion franchiseBorn ready and she get it right there on timeEarly A.M., breakfast after the mayhemBaby cause they don't make them like you, I hope that you hate themBlack [?], I keep 'em twerkin'They're workin', that's why they're perfect, go 'head and purchaseGirl it's on me, yeah it's my dimeDamn if I'm wrong, yeah it's alrightWhen you go down, down in my mindDo what you want, that's what I likeEvery time you come aroundI'm like ooh ooh baby, ooh ooh babyWhen I see you break it downLike you do, baby, you do, babyPapa told me, """"BoyDon't ever let down your guard""""But when you touch my hand and talk that talkI got a knockin' in my knees and a wobble in my walkWobble, wobble, satisfaction, my modelShow me you'll lead the way, and maybe I'll followPromise you ecstasy, long as you're here with meNo promise at all, my love be guaranteedCause baby I'll hit the throttle, make our way to the grottoPrivate dancin' in there and Playboy mansion tomorrowIt's all free, cause I agree you make 'em weakTalkin' 'bout my knees, and the thing you need, girlGirl it's on me, yeah it's my dimeDamn if I'm wrong, yeah it's alrightWhen you go down, down in my mindDo what you want, that's what I likeEvery time you come aroundI'm like ooh ooh baby, ooh ooh babyWhen I see you break it downLike you do, baby, you do, babyPapa told me, """"BoyDon't ever let down your guard""""But when you touch my hand and talk that talkI got a knockin' in my knees and a wobble in my walkWork, work, work, work, work with itDon't stop, don't, don't stop, get itWhen you touch my hand and talk that talkI got a knockin' in my knees and a wobble in my walkWobble in my... wobble in my...Wobble in my... wobble in my...When you touch my hand and talk that talkI got a knockin' in my knees and a wobble in my walk"""
"  Chance The Rapper ,  Vic Mensa ,  Twista  ",Cocoa Butter Kisses,"Na-na-na-na-na-na-na-na-na-na, igh Na-na-na-na-na-na-na-na-na-na, igh  Chorus 1: Chance the Rapper Cigarettes on cigarettes, my mama think I stank I got burn holes in my hoodies, all my homies think it's dank I miss my cocoa butter kisses I miss my cocoa butter kisses Cigarettes on cigarettes, my mama think I stank I got burn holes in my hoodies, all my homies think it's dank I miss my cocoa butter kisses Kisses, kisses I miss my cocoa butter kisses  Verse 1: Chance The Rapper Okie dokie, alkie, keep it low-key like Thor lil' bro Or he'll go blow the loudy, saudy of sour Saudi Wiley up off peyote, wilin' like that coyote If I sip any Henny, my belly just might be outie Pull up inside a huggy, Starsky & Hutch a dougie I just opened up the pack, in an hour I'll ash my lucky Tonight she just yelling Fuck me Two weeks she'll be yelling Fuck me Used to like orange cassette tapes with Timmy, Tommy, and Chuckie And Chuck E. Cheese's pizzas, Jesus pieces, sing Jesus love me Put Visine inside my eyes so my grandma would fucking hug me Oh, generation above me, I know you still remember me My afro look just like daddy's, y'all taught me how to go hunting, blam  Chorus 1: Chance the Rapper Cigarettes on cigarettes, my mama think I stank I got burn holes in my hoodies, all my homies think it's dank I miss my cocoa butter kisses Kisses, kisses I miss my cocoa butter kisses Cigarettes on cigarettes, my mama think I stank Innanet I got burn holes in my hoodies, all my homies think it's dank I miss my cocoa butter kisses Kisses, kisses I miss my cocoa butter kisses Innanet Kisses, kisses  Verse 2: Vic Mensa I will smoke a little something but I don't inhale Everywhere that I go, everywhere, they be asking how's it going Say the going's well, go figure, Victor's light skinned Jesus got me feeling like Colin Powell, all praise to the God God knows he's a pro, he's a pro like COINTEL Check, checkmate, check me, take me to the bedroom Like she know me well, I mean normally You see Norma Jean wouldn't kick it with Farmer Phil But these kids these days, they get so high Burn trees, smoke chlorophyll, 'til they can't feel shit Shit-faced, faced it, 15 hits on this L Elevated, train, and the craziest thing Got me feeling like Lauryn Hill, miseducated, my dick delegated Rap Bill Bellamy, they said I shoulda never made it Probably shoulda been dead or in jail Deadbeat dad, enough of that jazz Asshole, absinthe, thumpin' that glass Are we there yet Ice cubes in a bong Rip, brain dead, take a tug and then pass  Bridge: Vic Mensa I think we all addicted Yeah, I think we all addicted Really though, I think we all addicted Yah I think we all addicted  Chorus 2: Vic Mensa Cigarettes on cigarettes, my mama think I stank I got burn holes in my memories, my homies think it's dank I miss my cocoa butter kisses Kisses, kisses I think we all addicted Kisses, kisses  Chorus 1: Chance the Rapper Cigarettes on cigarettes, my mama think I stank I got burn holes in my hoodies, all my homies think it's dank I miss my cocoa butter kisses Kisses, kisses I miss my cocoa butter kisses  Verse 3: Twista I could make a flow, pitter patter with a patter pitter, juicy Used to be in a jalabiya and a kufi Trying hard not to be addicted to a groupie I ended up on an album cover in a Coogi You see, I be still a God but a goofy You be flowing about drugs and a Uzi That's the dual principle, sometimes I'ma be about some hoes Sometimes I'ma wanna make a movie And when it come to rapping fast, I'm the Higgs Boson Yeah And though my style freakish I could still break your body down to five pieces like I did Voltron 'Cause I'm addicted to the craft and I be off a OG Know me, I'm the Obi-Wan Kenobi of the dope, see What Never scared of mean spirits, methamphetamine lyrics Cooler like I'm off of codeine, low key Don't be so judgmental, even though I'm reminiscing If I don't know what I miss is I'ma end up figuring out that it's home And my mother and my grandmother cocoa butter kisses This is just a testament to the ones that raised me The ones that I praise and I'm thanking I need 'em but the chronic all up in my clothes And I wanna get a hug, and I can't 'cause I'm stanking Never too old for a spanking, IGH  Chorus 2: Vic Mensa Cigarettes on cigarettes, my momma think I stank I got burn holes in my memories, my homies think it's dank I miss my cocoa butter kisses Kisses, kisses I think we all addicted Kisses, kisses  Chorus 1: Chance the Rapper Cigarettes on cigarettes, my mama think I stank I got burn holes in my hoodies, all my homies think it's dank I miss my cocoa butter kisses Kisses, kisses I miss my cocoa butter kisses Kisses, kisses Cigarettes on cigarettes, my mama think I stank I got burn holes in my hoodies, all my homies think it's dank I miss my cocoa butter kisses I miss my cocoa butter kisses"
"  로꼬 ,  유성은  ",별 (Little Prince),이 꿈만 같은 동화 속에서 너와 저 별 하나를 가지고 싶어 uhm my dear I'll lead you with a light I'll lead you with a light 눈앞엔 그림같이 수많은 선과 색깔 느껴지는 촉감이 넌 믿기 힘들겠지만 여긴 아마 우리가 모르던 세상 속인듯해 꿈꾸던 대로 그대로 그리면 돼 I’ll be by your side 눈 떠도 옆엔 내가 우둑하게 팔을 벌린 채로 When you’re scared and blue 빛을 비추면 넌 그 길을 따라서 걸어가면 돼요 이 꿈만 같은 동화 속에서 너와 저 별 하나를 가지고 싶어 uhm my dear I'll lead you with a light I'll lead you with a light I'll lead you with a light 너의 머리 뒤에서 내가 팔 뻗어 그리던 동화 속엔 우리 빼곤 없어 현실은 이미 기억나지 않을 수도 여기선 필요 없어 어떤 말도 I’ll be by your side 내일의 내일은 아무도 모르지 마주쳐 만져 보기전까지는 절대 When you’re scared and blue 보이는 대로 믿으면 돼 살아있거든 이 꿈만 같은 동화 속에 이 꿈만 같은 동화 속에서 너와 저 별 하나를 가지고 싶어 uhm my dear I'll lead you with a light I'll lead you with a light I'll lead you with a light I’ll be by your side Don’t be afraid of the dark When you’re scared and blue I’ll be by your side I’ll be by your side Don’t be afraid of the dark When you’re scared and blue I’ll be by your side
"  San E ,  양다일  ",It was you (Inst.),하루가 또 한숨 같은 날 한숨이 네 눈물 같은 날 이런 날 바라보며 아팠을 너였는데 못난 내 욕심이 커져서 너의 숨이 내 숨이란 걸 난 몰랐어 사랑 was you 그녀는 손을 잡는 걸 좋아해요 손을 잡으면 마음까지 통한대요 창피하단 핑계로 못 잡은 조그만 그녀 손을 땀이 나도 놓지 말고 더욱 꼭 잡아줘요 그녀는 웃는 모습이 참 예쁘죠 항상 재밌게 해주세요 많이 부족한 저로 인해 이미 울 만큼 울었으니 눈물 많은 그녀 눈물 나는 일은 말아줘요 그녀에게 사랑한단 말을 아끼지 마요 자주는 아니라도 감정을 숨기지 마요 저는 무뚝뚝해 표현을 못했지만 사랑한다 말하며 그녈 살며시 꽉 안아줘요 지금 듣고 있을 당신께 미안해요 미안하면서도 염치없이 저 부탁해요 저는 너무 못나 그녈 그렇게 떠나보냈지만 당신이 그녀를 잘 보살펴줘요 하루가 또 한숨 같은 날 한숨이 네 눈물 같은 날 이런 날 바라보며 아팠을 너였는데 못난 내 욕심이 커져서 너의 숨이 내 숨이란 걸 난 몰랐어 사랑 was you You it was you You it was you You 그녀가 웃을 때 어깰 살짝 치는 버릇 기분 좋을 때 총총 뛰는 걸음 그녀가 속상할 땐 가만히 들어주면 되고 속상해 울 땐 괜찮다 쓰다듬어주면 되죠 무서운 영화 볼 땐 살짝 눈 가려주고 내가 옆에 있으니 절대 걱정 말라고 꼭 말해줘요 머릴 바꾸면 예쁘다 모두 당신을 위한 거니까 과거로 흐른 시간은 제가 간직할 테니 앞으로 다가올 시간을 당신께 부탁할게요 그녀가 기쁠 때 슬플 때 아플 때 또 외로울 때 옆에서 제가 못 지킨 그녈 지켜주세요 마지막 제 얘긴 말아줘요 부디 제 몫까지 그녀에게 더 잘해줘요 제겐 과분해 그녈 그렇게 떠나보냈지만 당신이 그녀를 잘 보살펴줘요 하루가 또 한숨 같은 날 한숨이 네 눈물 같은 날 이런 날 바라보며 아팠을 너였는데 못난 내 욕심이 커져서 너의 숨이 내 숨이란 걸 난 몰랐어 사랑 was you You it was you You it was you You 오늘이 지나 내일이 아닌 오늘을 버틴 내게 어제가 다시 오면 그렇게 사랑했던 널 이렇게 간절한 맘 나 후회 없이 안을 텐데 또다시 널 보게 되는 날 나 다시 날 찾게 되는 날 첨 보는 이 너이길 날 기다린 너이길 길고 긴 시간은 버틸게 너 없는 한숨은 삼킬게 이젠 알아 사랑 was you You it was you You it was you You
