artist,title,lyric
  이영훈  ,무얼 기다리나 (Feat. 조원선),그냥 생각 없이 이렇다 할 뜻도 없이 쉼 없이 웃으며 떠드는 이들을 가만히 두리번거리다 문득 내 곁에 당신이 없다는 생각에 주위는 온통 그대로 가득 차 당신은 무얼 기다리나 아무도 찾지 않는 밤 할 말이 더 남아 있나 더 이상 닿지 않는 마음 그저 별일 없이 이렇다 할 걱정 없이 쉼 없이 지나간 하루의 끝에서 가만히 두리번거리다 문득 당신 곁에 내가 없다는 생각에 주위는 온통 그대로 가득 차 당신은 무얼 기다리나 아무도 찾지 않는 밤 할 말이 더 남아 있나 더 이상 닿지 않는 마음 당신은 무얼 기다리나 아무도 찾지 않는 그런 너의 밤 할 말이 더 남아 있나 더 이상 닿지 않는 마음 마음 마음 마음 마음 마음
  이호석  ,찾고 있니,오랜 시간 내가 간직해왔던 먼지 가득 덥혀진 빛바랜 사진 한 장 속 그 속에는 해맑은 웃음 지으며 잡은 손 놓지 말자던 그 아이 찾고 있니 나의 작은 소녀야 너와 나의 약속 작은 한 조각 그 꿈들을 빨리 빨리 변해가는 시절에 돌아갈 수 없는 두 팔 벌린 나를 향해 마주 앉아 함께 했던 그 곳은 이미 멀어진 세상에 빈 자리 찾고 있니 나의 작은 소녀야 너와 나의 약속 작은 한 조각 그 꿈들을 빨리 빨리 변해가는 시절에 돌아갈 수 없는 두 팔 벌린 나를 향해 기억하니 그 날의 추억을 너와 나의 약속 작은 한 조각 그 꿈들을 빨리 빨리 변해가는 시절에 돌아갈 수 없는 두 팔 벌린 나를 향해 찾고 있니 나의 작은 소녀야 너와 나의 약속 작은 한 조각 그 꿈들을
  토마스쿡 (thomascook)  ,두 번째 인생,아무렇게나 끌려가듯이 허우적대며 항상 반대로 반대로 그저 도망쳤지 이리 저리 바보처럼 기웃대다 벌써 절반이 지났음을 알게 되지 두 번째 인생 두 번째 인생 두 번째 인생 두 번째 인생 걸음을 더는 멈추지 말아 돌아보지 마 마치 처음처럼 만나게 되는 내일처럼 조금씩 보이는데 이제 내 삶이 불안했던 청춘은 다 지나갔다 두 번째 인생 두 번째 인생 두 번째 인생 두 번째 인생 두 번째 인생 두 번째 인생 두 번째 인생 두 번째 인생 두 번째 인생 두 번째 인생 두 번째 인생 두 번째 인생
  Allegrow  ,어디쯤 있나요,집에 오는 길이 왠지 더욱 쓸쓸해 질 때 난 그대 모습을 그려요 익숙하게 불이 꺼진 집안 등을 밝힐 때 누군가 내게 있었음 해요 할 일 없는 주말이 이젠 익숙해 질 때면 난 그대 생각을 해요 걸 곳 없는 전화기만 그저 바라 보다가 누군가 내게 있었음 해요 이 계절 끝에서 지금 나는 널 기다려 혹시라도 그댈 마주 할 수 있게 된다면 밤새도록 그대 목소리를 듣고 싶은걸 언제라도 그대 따뜻한 품 안게 된다면 아껴왔던 나의 작은 마음 들을 너에게 주고파 해 지는 도시 속 그대는 어디쯤 있나요 하릴없는 친구들과 술자리의 끝에서 난 그대 생각을 해요 늦은 저녁 TV에는 모두 행복한 사람들 난 그게 바로 나였음 해요 길을 걷다 마주치는 연인들의 모습에 난 그대 모습을 그려요 오랜만에 연락 온 친구들 결혼 인사에 난 그게 바로 나였음 해요 이 계절 끝에서 지금 나는 널 기다려 혹시라도 그댈 마주 할 수 있게 된다면 밤새도록 그대 목소리를 듣고 싶은걸 언제라도 그대 따뜻한 품 안게 된다면 아껴왔던 나의 작은 마음 들을 너에게 주고파 해 지는 도시 속 그대는 어디쯤 있나요 우연처럼 거리에서 그댈 마주 할까 봐 오늘도 난 작은 기대를 해요 그 언젠가 우리 서로 알아보게 된다면 잡은 두 손 놓지 않기로 해요
  이어스 (Ears)  ,The Grateful Breeze,A grateful breeze I've been looking for It's not a Imagined It's specific and clear A breeze lead my mind Far away to an empty space A breeze lead my memories Far away to an empty place A breeze comes around me A breeze comes around me A gentle breeze I've been waiting for Just come comes to me Just to surround for my body A breeze lead my mind Far away to an empty space A breeze lead my memories Far away to an empty place A breeze comes around me A breeze comes around me Revealing my own mind And I say hello Revealing my older memories And I say goodbye to Revealing my own mind And I say hello Revealing my older memories And I say goodbye to
  르 메리무스  ,사랑은 타이밍이지 (Feat. 오경록 Of 와러서커스),아마도 늦은 밤이었을거야 울적한 맘에 비가 내리는 창 밖을 바라보다 외로움에 돌려보던 TV를 끄고 불러낼 사람이 없나 하고 핸드폰을 만졌지 하지만 아무도 연락 받지 않던 그 밤에 마침 딱 너의 전화가 왔지 반가운 맘에 고민도 없이 나갔어 이런게 사랑의 시작일까 사랑은 타이밍이지 넌 내게 설레임이지 모든걸 주고픈거지 그런게 사랑인거지 사랑은 타이밍이지사랑은 타이밍이지 사랑은 타이밍이지 사랑은 타이밍이지 한참을 고민했었을꺼야 외로운 맘에 나도 모르게 아무나 좋아하는 그런걸까 너의 맘은 어떨까 의심하던 마음이 자꾸만 커져 가던 때였지 하지만 나 지치고 힘들어 눈물나던 날에 마침 또 네가 달려와줬지 넓은 어깨 따뜻한 손을 빌려주던 너 역시 넌 나만의 흑기사 일까 사랑은 타이밍이지 넌 내게 설레임이지 모든걸 주고픈거지 그런게 사랑인거지 사랑은 타이밍이지사랑은 타이밍이지 사랑은 타이밍이지 사랑은 타이밍이지 나아 오오 네가 좋아 이대로 오오 영원히 오오 나도 오오 네가 좋아 이대로 오오 영원히 너를 데릴러 가는 건 너무 힘들어 어느새 익숙해져 버린 너와 나 사이 하지만 네가 없는 삶은 더 힘들어 그래서 매일봐야 힘이 나는 우리 사이 너를 좋아하게 된건 너무 신기해 어느날 갑자기 넌 내게 다가왔지 우리가 서로 사랑하는 건 더 신기해 이대로 영원히 함께 하자 I Love You Forever
  낭만유랑악단  ,어디가나요,그대여 어디가나요 나도 같이 가고 싶어 무슨 이유가 있겠어요 어디가요 그대여 무얼 찾나요 나도 같이 찾고 싶어 무슨 이유가 있겠어요 어디가요 때로는 멀어지기도 가끔은 가깝기도 한 번씩 돌아서 짓던 미소는 저의 착각인가요 어디든 괜찮아요 그대여 어디가세요 그대여 잘 모르겠나요 나와 함께 걸어봐요 무슨 이유가 있겠어요 어디가요 때로는 멀어지기도 가끔은 가깝기도 한 번씩 돌아서 짓던 미소는 저의 착각인가요 어디든 괜찮아요 그대여 어디가세요 그대를 바라보면서 걷는 이 기분이 좋아요 힘들어 하지 말아요 천천히 나를 바라봐줘요 어디든 괜찮아요 그대여 어디가세요
  바스켓 노트  ,가슴에 묻다,눈물을 참아야 하기엔 돌이킬 수 없는 넌 아픔이 되고 이 가슴 내버려 두기엔 너무 숨이 막혀 견딜 수가 없어서 술에 취해봐도 거리를 헤매도 더욱 생각이나 아파와 너는 지금 어디에 있니 나 떠나 잘 살 수 있게 기도했지만 사실은 보낼 수 잊을 수 없어 나 혼자만이 가슴에 사랑 사랑 사랑만 남아서 한번쯤 나에게 돌아올 까봐서 덧없이 하루를 살아도 돌아가지 못한 늦은 후회뿐 가끔은 생각이 나겠지 많이 좋아했고 때론 미워도 했어 술에 취해 봐도 거리를 해메도 더욱 생각이나 아파와 너는 지금 어디에 있니 나 떠나 잘 살 수 있게 기도했지만 사실은 보낼 수 잊을 수 없어 나 혼자만이 가슴에 사랑 사랑 사랑만 남아서 한번쯤 나에게 돌아올 까봐서 나 떠나 잘 살 수 있게 기도했지만 사실은 보낼 수 잊을 수 없어 나 혼자만이 가슴에 사랑 사랑 사랑만 남아서 한번쯤 나에게 돌아올 까봐서 기다려 기다려
  헤이즈문 (Haze Moon)  ,Save Me,See how people stand around me they seem to like me but I'm hiding See how people are waiting for me how much longer do I have to run away And the world's going the wrong way everything has to be cured The world is broken My life is gone See how people are changing they don't need to come back to me anymore See how people are looking for me no one wants to go back with nothing And the world's going the wrong way everything needs to be cured The world is broken My life is gone Woo Where am I Woo What am I I couldn't see anymore I couldn't feel any longer I couldn't say anything Happiness has as become a stranger I'm getting further away from you
  헤이달리 (Hey Dali)  ,모래편지,사랑해 너를 몰래 속삭이던 말이 발을 간지럽히던 그 밤의 파도에 들렸나 봐 돌릴 순 없을까 귓가에 담겨졌던 너의 고백 참 행복했던 우리 웃음 소리 사랑한다는 마음을 미안해 하고 쓰고 나면 파도가 다시 Lie Lie Lie Oh 거짓말 같던 사랑이 여전히 그리워서 Cry Cry Cry 지금도 남아있는 너의 이름 사랑해 너를 다시 듣고 싶은 말이 나를 어지럽히던 그 밤의 파도에 녹았나 봐 지울 수 있을까 귓가에 남아있는 너의 고백 참 따뜻했던 너의 목소리를 사랑한다는 마음을 미안해 하고 쓰고 나면 파도가 다시 Lie Lie Lie Oh 거짓말 같던 사랑이 여전히 그리워서 Cry Cry Cry 지금도 널 사랑해 지울게 너의 이름도 남겨진 너의 기억 모두 저 파도 따라 Bye Bye Bye Oh 이제는 너의 마음도 편할 수 있는 곳에 Fly Fly Fly 그래도 남아있을 너의 이름
